,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,,,
64,56,Morocco,"1,176,165",,"16,082 ",,"1,154,116",,"5,967",293,"31,147",426,"11,743,336","310,990","37,761,188 ",Africa,"322,3483",,,158,,,,,
65,57,Bulgaria,"1,167,147",,"37,204 ",,"1,063,059",,"66,884",29,"170,466","5,434","10,051,305","1,468,030","6,846,797 ",Europe,61841,,,"9,769",,,,,
66,58,Croatia,"1,139,835",,"16,019 ",,"1,122,161",,"1,655",6,"281,020","3,949","4,905,321","1,209,379","4,056,066 ",Europe,42531,,,408,,,,,
67,59,Finland,"1,114,573",,"4,714 ",,N/A,N/A,N/A,21,"200,555",848,"10,977,262","1,975,233","5,557,453 ",Europe,"51,1791",,,"191,429",,,,,
68,60,Cuba,"1,105,631",,"8,529 ",,"1,096,934",,168,23,"97,729",754,"13,852,049","1,224,417","11,313,177 ",North America,"101,3261",,,15,,,,,
69,61,Lebanon,"1,101,247",,"10,446 ",,"1,087,510",,"3,291",186,"162,761","1,544","4,795,578","708,772","6,766,038 ",Asia,66481,,,486,,,,,
70,62,Lithuania,"1,064,064",,"9,155 ",,"1,037,434",,"17,475",5,"401,761","3,457","9,989,932","3,771,924","2,648,498 ",Europe,22890,,,"6,598",,,,,
71,63,Tunisia,"1,043,540",,"28,648 ",,N/A,N/A,N/A,29,"86,536","2,376","4,640,840","384,842","12,059,066 ",Africa,124213,,,-983.82,,,,,
72,64,Slovenia,"1,028,370",,"6,644 ",,"1,017,602",,"4,124",6,"494,529","3,195","2,673,070","1,285,443","2,079,493 ",Europe,23131,,,"1,983",,,,,
73,65,Belarus,"982,867",,"6,978 ",,N/A,N/A,N/A,,"104,081",739,"13,220,483","1,399,988","9,443,281 ",Europe,"101,3531",,,"5,014",,,,,
74,66,Nepal,"979,271",,"11,952 ",,"967,217",,102,,"32,474",396,"5,730,656","190,036","30,155,659 ",Asia,"312,5235",,,3,,,,,
75,67,Uruguay,"943,877",,"7,290 ",,"928,373",,"8,214",18,"269,900","2,085","6,114,822","1,748,523","3,497,135 ",South America,44801,,,"2,349",,,,,
76,68,Mongolia,"926,282",,"2,179 ",,N/A,N/A,N/A,192,"273,972",644,"4,030,048","1,191,994","3,380,931 ",Asia,"41,5521",,,"180,674",,,,,
77,69,UAE,"918,815",,"2,305 ",,"900,358",,"16,152",,"90,767",228,"165,324,919","16,332,028","10,122,743 ",Asia,"114,3920",,,"1,596",,,,,
78,70,Bolivia,"912,473",,"21,951 ",,"875,545",,"14,977",220,"76,150","1,832","2,705,422","225,779","11,982,608 ",South America,135464,,,"1,250",,,,,
79,71,Costa Rica,"904,934",,"8,525 ",,"860,711",,"35,698",52,"174,544","1,644","4,659,757","898,775","5,184,562 ",North America,66081,,,"6,885",,,,,
80,72,Panama,"892,455",,"8,307 ",,"862,527",,"21,621",16,"200,695","1,868","6,416,881","1,443,026","4,446,824 ",North America,55351,,,"4,862",,,,,
81,73,Ecuador,"890,852",,"35,659 ",,N/A,N/A,N/A,759,"49,045","1,963","2,470,170","135,993","18,163,935 ",South America,205097,,,"22,644",,,,,
82,74,Guatemala,"871,263",,"18,293 ",,"845,301",,"7,669",5,"46,943",986,"4,756,204","256,263","18,559,873 ",North America,"211,0154",,,413,,,,,
83,75,Latvia,"830,698",,"5,839 ",,"822,583",,"2,276",6,"450,077","3,164","7,288,563","3,948,985","1,845,680 ",Europe,23160,,,"1,233",,,,,
84,76,Azerbaijan,"792,847",,"9,714 ",,"783,019",,114,,"76,850",942,"6,901,005","668,905","10,316,866 ",Asia,"131,0621",,,11,,,,,
85,77,Saudi Arabia,"778,983",,"9,175 ",,"760,490",,"9,318",91,"21,718",256,"42,947,407","1,197,374","35,867,993 ",Asia,"463,9091",,,260,,,,,
86,78,Sri Lanka,"663,960",,"16,519 ",,"646,983",,458,,"30,756",765,"6,486,117","300,453","21,587,805 ",Asia,"331,3073",,,21,,,,,
87,79,Paraguay,"652,044",,"18,932 ",,"624,673",,"8,439",2,"89,286","2,592","2,646,163","362,345","7,302,885 ",South America,113863,,,"1,156",,,,,
88,80,Kuwait,"636,240",,"2,555 ",,"631,350",,"2,335",22,"144,818",582,"8,149,895","1,855,046","4,393,366 ",Asia,"71,7201",,,531,,,,,
89,81,Myanmar,"613,452",,"19,434 ",,"592,432",,"1,586",,"11,130",353,"8,284,098","150,295","55,118,982 ",Asia,"902,8367",,,29,,,,,
90,82,Bahrain,"597,184",,"1,489 ",,"587,483",,"8,212",4,"328,749",820,"9,915,021","5,458,208","1,816,534 ",Asia,"31,2200",,,"4,521",,,,,
91,83,Dominican Republic,"592,578",,"4,382 ",,"584,682",,"3,514",19,"53,581",396,"3,411,051","308,429","11,059,420 ",North America,"192,5243",,,318,,,,,
92,84,Palestine,"582,669",,"5,356 ",,"577,132",,181,17,"109,279","1,005","3,078,533","577,375","5,331,948 ",Asia,99962,,,34,,,,,
93,85,Estonia,"577,655",,"2,574 ",,"520,451",,"54,630",5,"434,893","1,938","3,386,999","2,549,935","1,328,269 ",Europe,25160,,,"41,129",,,,,
94,86,Venezuela,"524,291",,"5,724 ",,"517,421",,"1,146",230,"18,540",202,"3,359,014","118,780","28,279,333 ",South America,"544,9408",,,41,,,,,
95,87,Moldova,"519,234",,"11,554 ",,"504,142",,"3,538",49,"129,300","2,877","3,216,305","800,925","4,015,739 ",Europe,83481,,,881,,,,,
96,88,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,861",232,"3,693,367","34,815","106,086,832 ",Africa,"2064,31029",,,460,,,,,
97,89,Libya,"502,040",,"6,430 ",,"490,973",,"4,637",101,"71,181",912,"2,477,219","351,231","7,052,961 ",Africa,"141,0973",,,657,,,,,
98,90,Cyprus,"491,777",,"1,067 ",,"124,370",,"366,340",60,"401,632",871,"9,477,138","7,739,927","1,224,448 ",Asia,"21,1480",,,"299,188",,,,,
99,91,Ethiopia,"479,484",,"7,517 ",,"456,866",,"15,101",35,"3,979",62,"4,988,019","41,395","120,499,230 ",Africa,"25116,03024",,,125,,,,,
